,,,,,,
,,,,,,
세 체 우,Dec 4 2020 10:51 AM,Udyr,"
											Defeat									",2.29:1,"
					Flex 5:5 Rank
				","
						Platinum 2
											",오른이 됐규남,세 체 우,바보에겐 죽음뿐,지니님의귀여움,오 쓰,Emmz,KNUE ShowMaker,아기돌이,VVhi,NaLynn,"
					","
				0
	","
					","
				1
	","
					","
				3
	","
					","
				1
	","
					","
				3
	","
					","
				9
	",26,51645,34,60340,29m 9s
세 체 우,Dec 4 2020 10:15 AM,Udyr,"
											Defeat									",1.50:1,"
					Flex 5:5 Rank
				","
						Platinum 2
											",오른이 됐규남,세 체 우,바보에겐 죽음뿐,지니님의귀여움,오 쓰,서폿줘봐다해줄게,아이언맨 주거요,니코혹시니코니,셉 지,DWG BervL,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				3
	","
					","
				0
	","
					","
				5
	",12,35284,19,43788,23m 33s
세 체 우,Dec 4 2020 9:47 AM,Udyr,"
											Victory									",Perfect,"
					Flex 5:5 Rank
				","
						Platinum 2
											",오른이 됐규남,세 체 우,바보에겐 죽음뿐,지니님의귀여움,오 쓰,여진 다리,테디내몸에서나와,Teemo jungle gap,혜지쿤,아브라삭스,"
					","
				0
	","
					","
				0
	","
					","
				1
	","
					","
				0
	","
					","
				2
	","
					","
				0
	",20,32716,2,22157,15m 54s
세 체 우,Dec 4 2020 9:16 AM,Udyr,"
											Victory									",2.25:1,"
					Flex 5:5 Rank
				","
						Platinum 2
											",오른이 됐규남,세 체 우,우주헬스,몹시매운맛,오 쓰,성공의 뒷바라지,hen zaoxing,군필 야스오,스펭Q,다야주차하면즐겜,"
					","
				1
	","
					","
				1
	","
					","
				2
	","
					","
				2
	","
					","
				6
	","
					","
				3
	",39,62341,31,57130,29m 16s
세 체 우,Dec 4 2020 8:40 AM,Udyr,"
											Defeat									",2.25:1,"
					Flex 5:5 Rank
				","
						Platinum 2
											",오른이 됐규남,세 체 우,우주헬스,몹시매운맛,오 쓰,푸른투구,져니츄,잡곡밥6,간지터지지,Tricolor Cat,"
					","
				0
	","
					","
				1
	","
					","
				2
	","
					","
				2
	","
					","
				4
	","
					","
				6
	",27,46211,30,50546,25m 13s
세 체 우,Dec 4 2020 8:00 AM,Udyr,"
											Victory									",2.22:1,"
					Flex 5:5 Rank
				","
						Platinum 2
											",오른이 됐규남,세 체 우,우주헬스,몹시매운맛,오 쓰,욕안하고살고싶다,실 말,생과일쥬스,야유성,가나초콜렛,"
					","
				1
	","
					","
				0
	","
					","
				3
	","
					","
				2
	","
					","
				9
	","
					","
				4
	",38,60235,32,59095,29m 59s
세 체 우,Dec 2 2020 11:06 PM,Udyr,"
											Victory									",3.40:1,"
					Normal
				","
						Master
											",토끼 띠모,세 체 우,AP고집,다주가쓰,유니에,이섭창,동제엄마,갱좀여정글님,이창열친구,Face Maker Art,"
					","
				0
	","
					","
				0
	","
					","
				2
	","
					","
				2
	","
					","
				9
	","
					","
				0
	",44,57252,20,42834,27m 57s
세 체 우,Dec 2 2020 3:37 PM,Udyr,"
											Victory									",3.90:1,"
					ARAM
				","
						Master
											",glauben,세 체 우,코 은,기메공주,오 쓰,구신구신,BadTime,삿갓이머신,Mid 한방,너는 반짝이는 별,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				4
	","
					","
				2
	",49,75330,41,73353,22m 9s
세 체 우,Dec 2 2020 3:06 PM,Udyr,"
											Victory									",1.82:1,"
					Normal
				","
						Master
											",코 은,세 체 우,SGC T 겨울상어,지니님의귀여움,오 쓰,마태선,AD 히트맨,아르테론,민 젱,Gehenna,"
					","
				1
	","
					","
				1
	","
					","
				3
	","
					","
				0
	","
					","
				11
	","
					","
				6
	",50,78193,39,65699,34m 41s
세 체 우,Dec 2 2020 1:43 PM,Udyr,"
											Defeat									",1.40:1,"
					Flex 5:5 Rank
				","
						Platinum 2
											",캬르르륵,세 체 우,물만두찐만두,지니님의귀여움,오 쓰,DWG Hunted,누누랑  놀아보장,우리집항상비어,너넨 할 수 없다,빵댕누나,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				3
	","
					","
				2
	","
					","
				5
	",10,35183,34,45119,21m 6s
세 체 우,Dec 2 2020 1:10 PM,Udyr,"
											Victory									",8.50:1,"
					Flex 5:5 Rank
				","
						Platinum 2
											",캬르르륵,세 체 우,물만두찐만두,지니님의귀여움,오 쓰,모두모두파이팅,뀨우우우뀨우우뀨,맛있게 지는 법,스윗걸,앙꼴받땅,"
					","
				1
	","
					","
				0
	","
					","
				4
	","
					","
				0
	","
					","
				9
	","
					","
				1
	",30,54760,19,44517,26m 10s
세 체 우,Dec 2 2020 12:38 PM,Udyr,"
											Victory									",9.50:1,"
					Flex 5:5 Rank
				","
						Platinum 4
											",물만두찐만두,세 체 우,캬르르륵,지니님의귀여움,오 쓰,낄븅낄신,빨대는구멍이하나,아이 X팔 진짜,NAVER펫도어검색,앙 끼,"
					","
				0
	","
					","
				0
	","
					","
				1
	","
					","
				1
	","
					","
				3
	","
					","
				0
	",30,38057,10,25803,16m 50s
세 체 우,Dec 1 2020 9:06 PM,Udyr,"
											Defeat									",1.33:1,"
					Normal
				","
						Master
											",3각관계,세 체 우,야스오 노벤 제발,IIIIIIllIlIlIlIl,레오나는레모나,goal123987,x지털M디어시티,Luke at me,잠든호랭이,영혼의 밤꽃 아리,"
					","
				0
	","
					","
				1
	","
					","
				0
	","
					","
				4
	","
					","
				4
	","
					","
				7
	",37,62408,56,75470,34m 7s
세 체 우,Dec 1 2020 11:14 AM,Udyr,"
											Defeat									",0.67:1,"
					Flex 5:5 Rank
				","
						Platinum 4
											",캬르르륵,세 체 우,한민정,지니님의귀여움,의성어,Kliii,82키로 김쿵쾅,Seong Ja,성남 나이킹,호날두m,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				2
	","
					","
				0
	","
					","
				1
	",7,24121,20,31114,16m 6s
세 체 우,Dec 1 2020 10:50 AM,Udyr,"
											Defeat									",1.00:1,"
					Flex 5:5 Rank
				","
						Platinum 4
											",캬르르륵,세 체 우,한민정,지니님의귀여움,의성어,Seong Ja,82키로 김쿵쾅,Kliii,성남 나이킹,호날두m,"
					","
				0
	","
					","
				2
	","
					","
				2
	","
					","
				2
	","
					","
				5
	","
					","
				7
	",27,59021,35,64138,31m 16s
세 체 우,Dec 1 2020 10:05 AM,Udyr,"
											Victory									",4.00:1,"
					Flex 5:5 Rank
				","
						Platinum 4
											",나는말이다,세 체 우,세면대 물틀기,지니님의귀여움,캬르르륵,Hooligan4110,장르냐,멘탈나갓음,황  봄,이 섹,"
					","
				0
	","
					","
				1
	","
					","
				1
	","
					","
				3
	","
					","
				8
	","
					","
				4
	",36,57406,46,55933,27m 48s
세 체 우,Dec 1 2020 9:30 AM,Udyr,"
											Victory									",11.00:1,"
					Flex 5:5 Rank
				","
						Platinum 4
											",나는말이다,세 체 우,세면대 물틀기,지니님의귀여움,노변신케인,웅장남,남궁의유쾌한반란,pvpasd,밍주당,히오스난민,"
					","
				0
	","
					","
				0
	","
					","
				1
	","
					","
				1
	","
					","
				1
	","
					","
				0
	",17,29854,9,25221,16m 30s
세 체 우,Dec 1 2020 9:05 AM,Udyr,"
											Defeat									",3.60:1,"
					Flex 5:5 Rank
				","
						Platinum 4
											",나는말이다,세 체 우,세면대 물틀기,지니님의귀여움,노변신케인,고정호노예1호,혜지로탑가요,자이코,으악새다 으악,콩국수는설탕이지,"
					","
				0
	","
					","
				1
	","
					","
				3
	","
					","
				3
	","
					","
				4
	","
					","
				7
	",29,65511,34,70066,37m 17s
세 체 우,Nov 29 2020 10:06 AM,Udyr,"
											Defeat									",0.20:1,"
					Normal
				","
						Master
											",세 체 우,you can no1 bro,수짜따까리,새 문,RYUYIYA,Padoc,약 곰,샹코랑,반짝 별풍,sleksody,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				3
	","
					","
				1
	","
					","
				3
	",14,38582,28,45458,22m 13s
세 체 우,Nov 29 2020 6:41 AM,Udyr,"
											Defeat									",0.71:1,"
					Normal
				","
						Master
											",헤카림 THREE,세 체 우,뎅겅뎅,아직안죽었다,앞비전하면뒤진다,풋팟퐁커리,고사성어 대사전,귀엽꾼,얍 호,Calendula,"
					","
				0
	","
					","
				0
	","
					","
				2
	","
					","
				1
	","
					","
				0
	","
					","
				4
	",16,34338,32,44842,20m 31s
세 체 우,Nov 29 2020 6:10 AM,Udyr,"
											Victory									",3.71:1,"
					Normal
				","
						Master
											",PoIaris Memories,세 체 우,그누구,iamtwentyseven,고랭지밭떼기,나는 영민하다,league of Duck,상어잡은농부,DWG Duckmaker,lissandraa,"
					","
				0
	","
					","
				0
	","
					","
				3
	","
					","
				2
	","
					","
				10
	","
					","
				3
	",44,68132,45,64116,30m 33s
세 체 우,Nov 29 2020 5:35 AM,Udyr,"
											Defeat									",1.27:1,"
					Normal
				","
						Master
											",쌀밥소환사,BuBDo,KDA 깃털기사,세 체 우,고랭지밭떼기,로 긴,부느님,푸딩a,서양조씨,핵 꿀 잼 롤,"
					","
				1
	","
					","
				0
	","
					","
				2
	","
					","
				3
	","
					","
				3
	","
					","
				9
	",35,56806,35,60394,31m 1s
세 체 우,Nov 29 2020 5:00 AM,Udyr,"
											Victory									",3.80:1,"
					Normal
				","
						Master
											",트린장로,세 체 우,BuBDo,물 많이 마시자,치코리타경제학,로 긴,푸딩a,부느님,서양조씨,핵 꿀 잼 롤,"
					","
				1
	","
					","
				0
	","
					","
				3
	","
					","
				0
	","
					","
				4
	","
					","
				2
	",34,48286,20,40183,21m 22s
세 체 우,Nov 29 2020 4:35 AM,Udyr,"
											Victory									",2.25:1,"
					Normal
				","
						Master
											",Idiot Player,세 체 우,광주광역시대표,FaceJakSal,Sky하늘av,Lof2,나재능없나봐,금sun,술 많이 못 해요,씻 는게 니나노,"
					","
				0
	","
					","
				0
	","
					","
				2
	","
					","
				0
	","
					","
				3
	","
					","
				0
	",34,39889,14,30943,17m 9s
세 체 우,Nov 29 2020 4:15 AM,Udyr,"
											Victory									",5.50:1,"
					Normal
				","
						Master
											",PlaytheJaximus,세 체 우,wenxiulin,CHOI JI YUN,NekoChen,난네가좋앙,화난 즐겜유저,지브릴은사랑입니,비산동24세명지수,원딜 잘하는 편,"
					","
				0
	","
					","
				0
	","
					","
				3
	","
					","
				0
	","
					","
				9
	","
					","
				0
	",28,43137,15,29936,18m 31s
세 체 우,Nov 28 2020 3:35 PM,Udyr,"
											Victory									",3.29:1,"
					Normal
				","
						Master
											",바지속안에레어템,세 체 우,꿈꾸는 윰이,KA2INO,마법소녀강질풍,It쇼타임,진수성찬 유튜브,울진범고래,AADH,도롱OI,"
					","
				0
	","
					","
				1
	","
					","
				2
	","
					","
				3
	","
					","
				7
	","
					","
				6
	",31,55815,28,53730,29m 27s
