,Channel_Name,Channel_URL,Ingame_ID,opgg_url
195,프레이 TV,https://www.youtube.com/channel/UCSzHok6X5qXEO7cjvVnE62g,죽기장인,https://op.gg/summoner/userName=죽기장인
196,프레이 TV,https://www.youtube.com/channel/UCSzHok6X5qXEO7cjvVnE62g,돌아다니는사이온,https://op.gg/summoner/userName=돌아다니는사이온
197,이석현,https://www.youtube.com/channel/UCVZI7eLie2UlZph6aiBRNrw,캬밀킥,https://op.gg/summoner/userName=캬밀킥
198,호진,https://www.youtube.com/channel/UCZZEgBpbLP0ILVc4nGg39-w,2hojin,https://op.gg/summoner/userName=2hojin
199,호진,https://www.youtube.com/channel/UCZZEgBpbLP0ILVc4nGg39-w,나는신기한거한다,https://op.gg/summoner/userName=나는신기한거한다
200,호진,https://www.youtube.com/channel/UCZZEgBpbLP0ILVc4nGg39-w,픽은자유다,https://op.gg/summoner/userName=픽은자유다
201,백크 Baekk,https://www.youtube.com/channel/UCugNO83_V7xZLzCsjpABGeg,topppppppppppp,https://op.gg/summoner/userName=topppppppppppp
202,백크 Baekk,https://www.youtube.com/channel/UCugNO83_V7xZLzCsjpABGeg,요붕도1,https://op.gg/summoner/userName=요붕도1
203,백크 Baekk,https://www.youtube.com/channel/UCugNO83_V7xZLzCsjpABGeg,백 훈,https://op.gg/summoner/userName=백 훈
204,종탁이,https://www.youtube.com/channel/UC7uyuLAA9z8GKxnSkb9KRtw,심사롭지않아,https://op.gg/summoner/userName=심사롭지않아
205,종탁이,https://www.youtube.com/channel/UC7uyuLAA9z8GKxnSkb9KRtw,말안해도알G,https://op.gg/summoner/userName=말안해도알G
206,종탁이,https://www.youtube.com/channel/UC7uyuLAA9z8GKxnSkb9KRtw,펭비,https://op.gg/summoner/userName=펭비
207,수찬,https://www.youtube.com/channel/UCLm0fAzu27N2aSd3lHsy2zQ,화려한솔로킬,https://op.gg/summoner/userName=화려한솔로킬
208,수찬,https://www.youtube.com/channel/UCLm0fAzu27N2aSd3lHsy2zQ,FPX sugurl,https://op.gg/summoner/userName=FPX sugurl
209,수찬,https://www.youtube.com/channel/UCLm0fAzu27N2aSd3lHsy2zQ,have a head mind,https://op.gg/summoner/userName=have a head mind
210,뜨샤,https://www.youtube.com/channel/UC1rnPxIykNwXkyMEiv4H7yQ,llilliliil,https://op.gg/summoner/userName=llilliliil
211,뜨샤,https://www.youtube.com/channel/UC1rnPxIykNwXkyMEiv4H7yQ,youtube뜨샤,https://op.gg/summoner/userName=youtube뜨샤
212,뜨샤,https://www.youtube.com/channel/UC1rnPxIykNwXkyMEiv4H7yQ,뜨세돌,https://op.gg/summoner/userName=뜨세돌
213,빵재애오,https://www.youtube.com/channel/UC0Db68EnP0hVureqj_sOjvg,낡은 기억 속으로,https://op.gg/summoner/userName=낡은 기억 속으로
214,빵재애오,https://www.youtube.com/channel/UC0Db68EnP0hVureqj_sOjvg,모쏠아싸히키백수,https://op.gg/summoner/userName=모쏠아싸히키백수
215,빵재애오,https://www.youtube.com/channel/UC0Db68EnP0hVureqj_sOjvg,즐겜필승빡겜필패,https://op.gg/summoner/userName=즐겜필승빡겜필패
216,빵재애오,https://www.youtube.com/channel/UC0Db68EnP0hVureqj_sOjvg,빵재,https://op.gg/summoner/userName=빵재
217,물다이아 & 불다이아,https://www.youtube.com/channel/UCe8YEoKunUWyVQQIGeGa-Dg,물다야제맛,https://op.gg/summoner/userName=물다야제맛
218,물다이아 & 불다이아,https://www.youtube.com/channel/UCe8YEoKunUWyVQQIGeGa-Dg,불다이아123,https://op.gg/summoner/userName=불다이아123
219,딩거는 세체딩,https://www.youtube.com/channel/UCuVKjXpefcrZAGNUcZpzDaw,세체딩,https://op.gg/summoner/userName=세체딩
220,딩신TV,https://www.youtube.com/channel/UCjr9NVxYsk4VsgO1q0ht1Cg,요릭원챔충,https://op.gg/summoner/userName=요릭원챔충
