,,,,,,
,,,,,,
 캬 일,Dec 24 2020 5:56 AM,Lucian,"
											Defeat									",3.50:1,"
					Normal
				", 캬 일,나는너를자야해,평택동 피바라기,Makham,원하는닉네임입력,내가누굴지아니,세주아냐,둥가둥둥,Fkingezboy,5harjedBD,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				3
	","
					","
				1
	","
					","
				4
	",12,32145,24,38183,18m 50s
 캬 일,Dec 24 2020 5:32 AM,Caitlyn,"
											Defeat									",1.82:1,"
					ARAM
				",잘해야 플래티넘,고냥이발톱,AVICIIII, 캬 일,안산멋진개곡,말랑말랑말랑랑,기습특공해병,Frozen time,내맘젓도몰라,혼모노 봇신병자,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				1
	","
					","
				4
	",44,66371,74,75031,20m 9s
 캬 일,Dec 24 2020 5:08 AM,Miss Fortune,"
											Victory									",3.13:1,"
					ARAM
				",눅눅한 사또밥,softly0,닉값 좀 함,Gethsemanee, 캬 일,정치하면템팜던짐,유성짱짱맨123,세나 그리세나,트럭이유,훈이 박사,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				4
	","
					","
				2
	",45,64825,34,60809,18m 27s
 캬 일,Dec 19 2020 10:42 AM,Kai'Sa,"
											Victory									",7.75:1,"
					ARAM
				",오온나나나,천둥군주와장창,Explicit Jin, 캬 일,이윤근,Snow ToT,섭느님,신림동 똥손,내일 꽃 키라라,게릴라리스트,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				4
	","
					","
				1
	",41,72301,30,67660,22m 7s
 캬 일,Dec 11 2020 9:48 AM,Kayle,"
											Defeat									",1.29:1,"
					Ranked Solo
				",The Unf0rgiven,망고링고개꿀맛, 캬 일,Khun Hatzling,뭐야이거쉽잖아,Rlver9,yi wu fan gu,나랑죽자,뚜르뤼,치즈아이스크림,"
					","
				1
	","
					","
				2
	","
					","
				2
	","
					","
				4
	","
					","
				2
	","
					","
				9
	",15,63780,37,73646,37m 29s
 캬 일,Dec 11 2020 9:04 AM,Kayle,"
											Victory									",1.33:1,"
					Ranked Solo
				", 캬 일,happy christmas0,아리는세면서약함,bpbpbpbp,마배1,복츈쿠키,못하면바로박는다,노성딱,맞짱의신최동훈,cordato,"
					","
				2
	","
					","
				0
	","
					","
				3
	","
					","
				2
	","
					","
				7
	","
					","
				4
	",31,60109,18,48421,29m 2s
 캬 일,Dec 11 2020 8:29 AM,Kayle,"
											Victory									",1.00:1,"
					Ranked Solo
				", 캬 일,ReZero Rem,왕귀영훈,혜지는 장인만,cordato,멘탈나가면걍던짐,ssba,질타왕나애리,혜록이,AYAYAYA,"
					","
				0
	","
					","
				0
	","
					","
				2
	","
					","
				0
	","
					","
				5
	","
					","
				0
	",21,34012,5,23261,15m 26s
 캬 일,Dec 11 2020 8:09 AM,Kayle,"
											Defeat									",1.50:1,"
					Ranked Solo
				", 캬 일,BJ 우끼끼맨,나는뭘까아아,서폿이 잘못했대,N1ce to meet you,Relentless GK,형 섭123,bujueC,어두컴컴한미래,내가누군지찾지마,"
					","
				0
	","
					","
				1
	","
					","
				2
	","
					","
				1
	","
					","
				0
	","
					","
				10
	",10,41491,27,53594,26m 6s
 캬 일,Dec 11 2020 1:42 AM,Kayle,"
											Defeat									",0.86:1,"
					Ranked Solo
				",잔영의 케이가,정글 연구자, 캬 일,나는엄청못함,판테온프레스티지,끼룩끼룩123,Troubleshooter,부러져버린 단검,Got Mid,임정석의요리교실,"
					","
				0
	","
					","
				2
	","
					","
				2
	","
					","
				3
	","
					","
				2
	","
					","
				11
	",28,59279,44,67958,30m 38s
 캬 일,Dec 11 2020 1:00 AM,Kayle,"
											Victory									",2.43:1,"
					Ranked Solo
				", 캬 일,Troubleshooter,판테온프레스티지,30080852del,진석강,쿼드01,샹 치,난 불행해애,설해원하이브리드,여자 장지환,"
					","
				3
	","
					","
				0
	","
					","
				4
	","
					","
				2
	","
					","
				8
	","
					","
				7
	",32,82640,31,75494,41m 47s
 캬 일,Dec 11 2020 12:09 AM,Kayle,"
											Remake									",0.00:1,"
					Ranked Solo
				",판테온프레스티지,Troubleshooter, 캬 일,섭섭oI,OWOWOWOWO,총끝은빛나고방아쇠는심판을내린다,46hz,네꿈꾸며잠이들래,30080852del,진석강,3m 13s
 캬 일,Dec 10 2020 11:57 PM,Kayle,"
											Defeat									",0.29:1,"
					Ranked Solo
				", 캬 일,천이플,판테온프레스티지,수지타산맞는사람,S호원,냄굴이,인디언식 강타,이린쨩,아산병원커피셔틀,raspberrYnY,"
					","
				0
	","
					","
				0
	","
					","
				1
	","
					","
				3
	","
					","
				1
	","
					","
				11
	",22,51191,37,63212,30m 11s
